"State","OB_S_percent(M)_2009","OB_S_percent(M)_2010","OB_S_percent(M)_2011","OB_S_percent(M)_2012","OB_S_percent(F)_2009","OB_S_percent(F)_2010","OB_S_percent(F)_2011","OB_S_percent(F)_2012","AC_S_percent(M)_2009","AC_S_percent(M)_2010","AC_S_percent(M)_2011","AC_S_percent(M)_2012","AC_S_percent(F)_2009","AC_S_percent(F)_2010","AC_S_percent(F)_2011","AC_S_percent(F)_2012"
"Georgia",24.6918238993711,25.814465408805,25.5396226415094,25.9761006289308,30.2106918238994,30.8452830188679,31.4610062893082,31.8867924528302,24.6918238993711,25.814465408805,25.5396226415094,25.9761006289308,30.451572327044,30.8050314465409,30.6283018867925,30.9301886792453
"Hawaii",15.66,16.68,16.42,17.42,20.76,20.32,20.64,20.24,15.66,16.68,16.42,17.42,20.5,21.22,20.86,22.08
"Idaho",23.2022727272727,22.6272727272727,21.3227272727273,22.2090909090909,26.3318181818182,26.8159090909091,27.2681818181818,27.7204545454545,23.2022727272727,22.6272727272727,21.3227272727273,22.2090909090909,23.8727272727273,22.7090909090909,21.9659090909091,22.5863636363636
"Illinois",27.6,26.543137254902,25.6823529411765,25.4666666666667,27.25,27.5088235294118,28.4274509803922,29.4549019607843,27.6,26.543137254902,25.6823529411765,25.4666666666667,30.5205882352941,29.1441176470588,28.4852941176471,27.1754901960784
"Indiana",26.6760869565217,28.0532608695652,27.079347826087,28.7945652173913,30.7695652173913,30.7782608695652,30.6065217391304,31.545652173913,26.6760869565217,28.0532608695652,27.079347826087,28.7945652173913,30.945652173913,30.5532608695652,29.2739130434783,30.4173913043478
"Iowa",27.1959595959596,27.7626262626263,26.4636363636364,27.9040404040404,27.8575757575758,28.4313131313131,29.0848484848485,30.0262626262626,27.1959595959596,27.7626262626263,26.4636363636364,27.9040404040404,26.9686868686869,26.6414141414141,25.9626262626263,26.579797979798
"Kansas",27.0161904761905,27.82,27.3285714285714,27.727619047619,30.8971428571429,31.4028571428571,31.4152380952381,31.1438095238095,27.0161904761905,27.82,27.3285714285714,27.727619047619,28.2695238095238,27.8419047619048,27.6114285714286,27.8257142857143
"Kentucky",31.8783333333333,31.7333333333333,30.4016666666667,30.1183333333333,32.9283333333333,32.4783333333333,32.1616666666667,32.8191666666667,31.8783333333333,31.7333333333333,30.4016666666667,30.1183333333333,36.08,34.3825,33.4591666666667,32.655
"Louisiana",28.55625,29.325,29.025,28.9046875,33.378125,34.6921875,35.646875,36.2109375,28.55625,29.325,29.025,28.9046875,34.1484375,35.0984375,35.2640625,35.7640625
"Maine",24.06875,24.075,23.025,23.0625,28.41875,28.58125,28.1375,28.175,24.06875,24.075,23.025,23.0625,23.7125,23.24375,22.63125,22.51875
"Maryland",23.1291666666667,23.65,22.6583333333333,22.9583333333333,29.0166666666667,28.8375,29.1291666666667,29.85,23.1291666666667,23.65,22.6583333333333,22.9583333333333,28.025,27.4791666666667,26.5375,26.8791666666667
"Massachusetts",19.5285714285714,19.8857142857143,18.7857142857143,19.3857142857143,21.1214285714286,21.2928571428571,21.3,21.4285714285714,19.5285714285714,19.8857142857143,18.7857142857143,19.3857142857143,23.1214285714286,23,21.6928571428571,21.8714285714286
"Michigan",24.1144578313253,23.0397590361446,21.9614457831325,22.710843373494,30.9843373493976,31.3650602409639,31.2819277108434,31.4060240963855,24.1144578313253,23.0397590361446,21.9614457831325,22.710843373494,27.6240963855422,25.9566265060241,24.8638554216867,24.7698795180723
"Minnesota",21.4241379310345,22.9816091954023,22.2471264367816,23.2896551724138,26.783908045977,26.4758620689655,26.1689655172414,26.5344827586207,21.4241379310345,22.9816091954023,22.2471264367816,23.2896551724138,22.5379310344828,23.1367816091954,22.7149425287356,22.7402298850575
"Mississippi",30.3414634146341,31.1365853658537,31.3390243902439,32.2756097560976,37.6182926829268,38.0963414634146,38.340243902439,38.6475609756098,30.3414634146341,31.1365853658537,31.3390243902439,32.2756097560976,37.3475609756098,37.5036585365854,36.4621951219512,37.6512195121951
"Missouri",28.4713043478261,29.5095652173913,28.8226086956522,28.8634782608696,31.1269565217391,31.6904347826087,31.8234782608696,32.1886956521739,28.4713043478261,29.5095652173913,28.8226086956522,28.8634782608696,32.6278260869565,31.0373913043478,30.1947826086957,30.584347826087
"Montana",27.3892857142857,28.1375,26.7321428571429,27.5232142857143,24.9464285714286,24.8857142857143,25.2142857142857,25.4892857142857,27.3892857142857,28.1375,26.7321428571429,27.5232142857143,27.1196428571429,26.3392857142857,24.95,24.6553571428571
"Nebraska",30.2752688172043,31.4741935483871,30.2763440860215,30.9666666666667,28.910752688172,29.2537634408602,29.1,29.6118279569892,30.2752688172043,31.4741935483871,30.2763440860215,30.9666666666667,28.4354838709677,27.9795698924731,26.4817204301075,25.547311827957
"Nevada",23.0176470588235,21.7352941176471,20.8352941176471,21.5764705882353,24.8764705882353,25.1764705882353,24.5941176470588,25.0352941176471,23.0176470588235,21.7352941176471,20.8352941176471,21.5764705882353,26.8470588235294,25.3117647058824,23.6941176470588,23.8235294117647
"New Hampshire",21.01,21.32,20.32,20.3,25.42,25.75,26.43,26.32,21.01,21.32,20.32,20.3,24.12,23.12,22.28,22.09
"New Jersey",22.4809523809524,22.7904761904762,22.2571428571429,22.0714285714286,23.2,22.8571428571429,22.9095238095238,23.552380952381,22.4809523809524,22.7904761904762,22.2571428571429,22.0714285714286,27.8809523809524,27.1619047619048,26.1904761904762,25.9904761904762
"New Mexico",21.2,22.9212121212121,22.5363636363636,23.2787878787879,24.3787878787879,24.7727272727273,25.0060606060606,24.8,21.2,22.9212121212121,22.5363636363636,23.2787878787879,24.9060606060606,24.7484848484848,23.6515151515152,23.9575757575758
"New York",23.9112903225806,23.2274193548387,22.4532258064516,22.541935483871,25.5564516129032,25.558064516129,25.4177419354839,25.5096774193548,23.9112903225806,23.2274193548387,22.4532258064516,22.541935483871,26.7161290322581,25.9129032258065,25.3903225806452,25.7241935483871
"North Carolina",24.696,25.273,24.846,25.434,30.937,30.391,30.712,31.102,24.696,25.273,24.846,25.434,30.093,30.35,29.971,29.756
