"","State","OB_percent_2004","OB_percent_2005","OB_percent_2006","OB_percent_2007","OB_percent_2008","OB_percent_2009","OB_percent_2010","OB_percent_2011","OB_percent_2012","AC_percent_2004","AC_percent_2005","AC_percent_2006","AC_percent_2007","AC_percent_2008","AC_percent_2009","AC_percent_2010","AC_percent_2011","AC_percent_2012"
"17","Kansas",24.852380952381,25.8714285714286,27.3961904761905,28.887619047619,30.112380952381,32.052380952381,32.3676190476191,32.5466666666667,32.2819047619048,26.4857142857143,26.0371428571429,26.2047619047619,26.6895238095238,26.7704761904762,27.652380952381,27.8295238095238,27.4752380952381,27.772380952381
"18","Kentucky",27.5425,28.97475,30.2675,31.175,31.7933333333333,33.7033333333333,33.4975,33.1833333333333,33.8008333333333,34.3666666666667,34.6216666666667,35.0016666666667,34.6225,34.2616666666667,34.03,33.0875,31.9566666666667,31.4116666666667
"19","Louisiana",28.146875,28.813125,30.653125,30.7203125,32.9078125,34.3296875,35.5453125,36.0921875,36.4546875,32.8359375,33.0359375,33.2078125,32.625,31.9859375,31.4296875,32.24375,32.1828125,32.36875
"20","Maine",23.3875,24.068125,25.025,25.8875,27.01875,28.64375,28.81875,28.86875,28.8125,22.9125,23.1375,22.4875,22.7,23.05625,23.8875,23.63125,22.81875,22.775
"21","Maryland",24.1291666666667,25.1991666666667,26.6875,27.6125,28.5208333333333,29.7041666666667,29.7833333333333,30.0541666666667,30.1291666666667,23.9708333333333,24.3708333333333,24.1041666666667,24.4083333333333,24.9375,25.6875,25.6333333333333,24.6625,24.9708333333333
"22","Massachusetts",19.0928571428571,20.6371428571429,21.8071428571429,22.1071428571429,22.4214285714286,23.2428571428571,23.3928571428571,23.2,23.1571428571429,21.2928571428571,21.4928571428571,21.4857142857143,21.5785714285714,21.55,21.4142857142857,21.5,20.3071428571429,20.6714285714286
"23","Michigan",26.6963855421687,27.3355421686747,28.144578313253,29.4939759036145,30.4939759036145,31.9204819277108,32.055421686747,32.2204819277108,32.3614457831325,22.4144578313253,22.9939759036145,22.6843373493976,24.321686746988,24.7301204819277,25.8771084337349,24.5048192771084,23.4228915662651,23.7409638554217
"24","Minnesota",24.9218390804598,25.5562068965517,26.4022988505747,27.2436781609195,27.6390804597701,28.4080459770115,28.4425287356322,28.3816091954023,28.7034482758621,17.1954022988506,17.1931034482759,17.2540229885057,18.4137931034483,18.8931034482759,21.9954022988506,23.0655172413793,22.4816091954023,23.0229885057471
"25","Mississippi",30.6707317073171,31.9646341463415,33.4841463414634,34.3939024390244,35.3853658536585,36.3914634146341,36.6987804878049,36.6841463414634,36.8353658536585,33.5036585365854,33.6512195121951,33.6414634146341,33.7585365853659,34.1048780487805,34.0268292682927,34.4585365853659,34.0060975609756,35.0634146341463
"26","Missouri",26.5104347826087,28.0071304347826,29.355652173913,29.7991304347826,29.98,31.5295652173913,32.0078260869565,32.0921739130435,32.5791304347826,28.3278260869565,27.8052173913043,28.1408695652174,29.1217391304348,29.4991304347826,30.5991304347826,30.2886956521739,29.5139130434783,29.7391304347826
"27","Montana",22.1732142857143,23.0894642857143,23.7571428571429,24.5857142857143,24.8821428571429,26.075,26.2071428571429,26.5160714285714,26.8428571428571,24.1660714285714,23.8017857142857,23.8517857142857,24.4607142857143,24.9660714285714,27.2589285714286,27.2482142857143,25.8464285714286,26.1035714285714
"28","Nebraska",25.5612903225806,26.4011827956989,27.8806451612903,28.8763440860215,29.4010752688172,30.1096774193548,30.5720430107527,30.5903225806452,31.110752688172,24.6838709677419,25.3021505376344,26.0795698924731,27.710752688172,28.1569892473118,29.3440860215054,29.7118279569892,28.3645161290323,28.2397849462366
"29","Nevada",21.4588235294118,23.9247058823529,26.2764705882353,27.8294117647059,27.4411764705882,27.3235294117647,27.2235294117647,26.7352941176471,26.7823529411765,20.8235294117647,22.1058823529412,22.4941176470588,24.1,23.7764705882353,24.8235294117647,23.4352941176471,22.1705882352941,22.6294117647059
"30","New Hampshire",21.68,22.546,23.55,24.82,25.79,26.92,27.04,27.43,27.56,20.9,21.25,21.03,21.31,21.84,22.59,22.24,21.34,21.21
"31","New Jersey",21.8619047619048,22.6071428571429,22.8571428571429,23.8428571428571,24.6952380952381,25.6142857142857,25.2619047619048,25.3333333333333,25.6333333333333,24.7904761904762,24.8238095238095,25.147619047619,24.7190476190476,24.9095238095238,25.2666666666667,25.0571428571429,24.3,24.1047619047619
"32","New Mexico",19.9424242424242,20.6933333333333,21.5636363636364,22.2363636363636,23.4969696969697,24.9727272727273,25.3969696969697,25.5848484848485,25.2848484848485,21.1393939393939,21.3060606060606,21.6484848484848,22.3454545454545,22.3575757575758,23.0757575757576,23.8363636363636,23.1030303030303,23.6212121212121
